PERMITTED_VALUE	LONG_NAME	DEFINITION
Visit 1 Pre-dose	Prior Treatment Epoch Dose 1 Patient Visit	Earlier in time or order.: A period in a clinical study during which subjects receive therapeutic treatment.: A quantity of an agent (such as substance or energy) administered, taken, or absorbed at one time.: A number with no fractional part, including the negative and positive numbers as well as zero.::1: A visit by a patient or study participant to a medical professional.
Visit 10	Health Care Visit 10	A number with no fractional part.::10: A visit by a patient or study participant to a medical professional.
Visit 11	Health Care Visit 11	A number with no fractional part.::11: A visit by a patient or study participant to a medical professional.
Visit 2	Health Care Visit 2	A number with no fractional part.::2: A visit by a patient or study participant to a medical professional.
Visit 2 During dose infusion	Patient Visit 2 During Dose Infusion Procedure	A visit by a patient or study participant to a medical professional.: A number with no fractional part, including the negative and positive numbers as well as zero.::2: At some point in a given period of time.: A quantity of an agent (such as substance or energy) administered, taken, or absorbed at one time.: Any form of treatment that is introduced into the body via a blood vessel, a muscle, or the spinal cord.
Visit 2 Post-dose	Post Treatment Epoch Dose 2 Patient Visit	Happening at a time subsequent to a reference time; later in time or order.: A period in a clinical study during which subjects receive therapeutic treatment.: A quantity of an agent (such as substance or energy) administered, taken, or absorbed at one time.: A number with no fractional part, including the negative and positive numbers as well as zero.::2: A visit by a patient or study participant to a medical professional.
Visit 2 Pre-dose	Prior Treatment Epoch Dose 2 Patient Visit	Earlier in time or order.: A period in a clinical study during which subjects receive therapeutic treatment.: A quantity of an agent (such as substance or energy) administered, taken, or absorbed at one time.: A number with no fractional part, including the negative and positive numbers as well as zero.::2: A visit by a patient or study participant to a medical professional.
Visit 3	Health Care Visit 3	A number with no fractional part, including the negative and positive numbers as well as zero.::3: A visit by a patient or study participant to a medical professional.
Visit 3 During dose infusion	Patient Visit 3 During Dose Infusion Procedure	A visit by a patient or study participant to a medical professional.: A number with no fractional part, including the negative and positive numbers as well as zero.::3: At some point in a given period of time.: A quantity of an agent (such as substance or energy) administered, taken, or absorbed at one time.: Any form of treatment that is introduced into the body via a blood vessel, a muscle, or the spinal cord.
Visit 3 Post-dose	Post Treatment Epoch Dose 3 Patient Visit	Happening at a time subsequent to a reference time; later in time or order.: A period in a clinical study during which subjects receive therapeutic treatment.: A quantity of an agent (such as substance or energy) administered, taken, or absorbed at one time.: A number with no fractional part, including the negative and positive numbers as well as zero.::3: A visit by a patient or study participant to a medical professional.
Visit 3 Pre-dose	Prior Treatment Epoch Dose 3 Patient Visit	Earlier in time or order.: A period in a clinical study during which subjects receive therapeutic treatment.: A quantity of an agent (such as substance or energy) administered, taken, or absorbed at one time.: A number with no fractional part, including the negative and positive numbers as well as zero.::3: A visit by a patient or study participant to a medical professional.
Visit 4	Health Care Visit 4	A number with no fractional part, including the negative and positive numbers as well as zero.::4: A visit by a patient or study participant to a medical professional.
Visit 5	Health Care Visit 5	A number with no fractional part, including the negative and positive numbers as well as zero.::5: A visit by a patient or study participant to a medical professional.
Visit 6	Health Care Visit 6	A number with no fractional part, including the negative and positive numbers as well as zero.::6: A visit by a patient or study participant to a medical professional.
Visit 6 During dose infusion	Patient Visit 6 During Dose Infusion Procedure	A visit by a patient or study participant to a medical professional.: A number with no fractional part, including the negative and positive numbers as well as zero.::6: At some point in a given period of time.: A quantity of an agent (such as substance or energy) administered, taken, or absorbed at one time.: Any form of treatment that is introduced into the body via a blood vessel, a muscle, or the spinal cord.
Visit 6 Post-dose	Post Treatment Epoch Dose 6 Patient Visit	Happening at a time subsequent to a reference time; later in time or order.: A period in a clinical study during which subjects receive therapeutic treatment.: A quantity of an agent (such as substance or energy) administered, taken, or absorbed at one time.: A number with no fractional part, including the negative and positive numbers as well as zero.::6: A visit by a patient or study participant to a medical professional.
Visit 6 Pre-dose	Prior Treatment Epoch Dose 6 Patient Visit	Earlier in time or order.: A period in a clinical study during which subjects receive therapeutic treatment.: A quantity of an agent (such as substance or energy) administered, taken, or absorbed at one time.: A number with no fractional part, including the negative and positive numbers as well as zero.::6: A visit by a patient or study participant to a medical professional.
Visit 7	Health Care Visit 7	A number with no fractional part, including the negative and positive numbers as well as zero.::7: A visit by a patient or study participant to a medical professional.
Visit 8	Health Care Visit 8	A number with no fractional part, including the negative and positive numbers as well as zero.::8: A visit by a patient or study participant to a medical professional.
Visit 9	Health Care Visit 9	A number with no fractional part, including the negative and positive numbers as well as zero.::9: A visit by a patient or study participant to a medical professional.
Visit 9 During dose infusion	Patient Visit 9 During Dose Infusion Procedure	A visit by a patient or study participant to a medical professional.: A number with no fractional part, including the negative and positive numbers as well as zero.::9: At some point in a given period of time.: A quantity of an agent (such as substance or energy) administered, taken, or absorbed at one time.: Any form of treatment that is introduced into the body via a blood vessel, a muscle, or the spinal cord.
Visit 9 Post-dose	Post Treatment Epoch Dose 9 Patient Visit	Happening at a time subsequent to a reference time; later in time or order.: A period in a clinical study during which subjects receive therapeutic treatment.: A quantity of an agent (such as substance or energy) administered, taken, or absorbed at one time.: A number with no fractional part, including the negative and positive numbers as well as zero.::9: A visit by a patient or study participant to a medical professional.
Visit 9 Pre-dose	Prior Treatment Epoch Dose 9 Patient Visit	Earlier in time or order.: A period in a clinical study during which subjects receive therapeutic treatment.: A quantity of an agent (such as substance or energy) administered, taken, or absorbed at one time.: A number with no fractional part, including the negative and positive numbers as well as zero.::9: A visit by a patient or study participant to a medical professional.
Week 0	Week 0	A mathematical element that when added to another number yields the same number; the cardinal number meaning one less than one.: Any period of seven consecutive days.
Week 10	Week 10	A natural number greater than 9 and less than 11 and the quantity that it denotes: the sum of nine and one.: Any period of seven consecutive days.
Week 102	Week 102	Week 102
Week 103	Week 103	Week 103
Week 11	Week 11	A natural number greater than 10 and less than 12 and the quantity that it denotes.: Any period of seven consecutive days.
Week 114	Week 114	Week 114
Week 12	Week 12	A natural number greater than 11 and less than 13 and the quantity that it denotes.: Any period of seven consecutive days.
Week 12 (Cycle 3)	Week 12 (Cycle 3)	Week 12 (Cycle 3)
Week 126	Week 126	Week 126
Week 13	Week 13	A natural number greater than 12 and less than 14 and the quantity that it denotes.: Any period of seven consecutive days.
Week 14	Week 14	A natural number greater than 13 and less than 15 and the quantity that it denotes.: Any period of seven consecutive days.
Week 15	Week 15	A natural number greater than 14 and less than 16 and the quantity that it denotes.: Any period of seven consecutive days.
Week 156 or early termination	Week 156 or early termination	Week 156 or early termination
Week 16	Week 16	A natural number greater than 15 and less than 17 and the quantity that it denotes.: Any period of seven consecutive days.
Week 16	Week Sixteen	Any period of seven consecutive days._A natural number greater than 15 and less than 17 and the quantity that it denotes.
Week 16 (Cycle 4)	Week 16 (Cycle 4)	Week 16 (Cycle 4)
Week 17	Week 17	A natural number greater than 16 and less than 18 and the quantity that it denotes.: Any period of seven consecutive days.
Week 18	Week 18	A natural number greater than seventeen and less than nineteen and the quantity that it denotes.: Any period of seven consecutive days.
Week 19	Week 19	A natural number greater than eighteen and less than twenty and the quantity that it denotes.: Any period of seven consecutive days.
Week 2	Week 2	A natural number greater than 1 and less than 3 and the quantity that it denotes: the sum of one and one.: Any period of seven consecutive days.
Week 20	Week 20	A natural number greater than nineteen and less than twenty-one and the quantity that it denotes.: Any period of seven consecutive days.
Week 20	Week Twenty	Any period of seven consecutive days._A natural number greater than nineteen and less than twenty-one and the quantity that it denotes.
Week 20 (Cycle 5)	Week 20 (Cycle 5)	A natural number greater than nineteen and less than twenty-one and the quantity that it denotes.: Any period of seven consecutive days.
Week 21	Week 21	A natural number greater than twenty and less than twenty-two and the quantity that it denotes.: Any period of seven consecutive days.
Week 22	Week 22	Twenty-second week
Week 23	Week 23	Week 23
Week 24	Week 24	Any period of seven consecutive days._A natural number greater than twenty-three and less than twenty-five and the quantity that it denotes.
Week 24 (Cycle 6)	Week 24 (Cycle 6)	Week 24 (Cycle 6)
Week 25	Week 25	A natural number greater than twenty-four and less than twenty-six and the quantity that it denotes.: Any period of seven consecutive days.
Week 26	Week 26	Week 26
Week 27	Week 27	Week 27
Week 28	Week 28	Week 28
Week 28 (Cycle 7)	Week 28 (Cycle 7)	Week 28 (Cycle 7)
Week 29	Week 29	A natural number greater than twenty-eight and less than thirty and the quantity that it denotes.: Any period of seven consecutive days.
Week 3	Week 3	Any period of seven consecutive days._A natural number greater than 2 and less than 4 and the quantity that it denotes: the sum of two and one.
Week 30	Week 30	Week 30
Week 30	Week 30	A natural number greater than twenty-nine and less than thirty-one and the quantity that it denotes.: Any period of seven consecutive days.
Week 31	Week 31	Week 31
Week 32	Week 32	Any period of seven consecutive days._The natural number greater than thirty-one and less than thirty-three and the quantity that it denotes.
Week 32 (Cycle 8)	Week 32 (Cycle 8)	Week 32 (Cycle 8)
Week 33	Week 33	Week 33
Week 34	Week 34	Thirty-fourth week
Week 35	Week 35	Week 35
Week 36	Week 36	Week 36
Week 37	Week 37	Week 37
Week 38	Week 38	Week 38
Week 39	Week 39	A natural number greater than thirty-eight and less than forty and the quantity that it denotes.: Any period of seven consecutive days.
Week 4	Week 4	Week 4
Week 4 (Cycle 1)	Week 4 (Cycle 1)	Week 4 (Cycle 1)
Week 40	Week 40	Week 40
Week 40	Week 40	A natural number greater than thirty-nine and less than forty-one and the quantity that it denotes.: Any period of seven consecutive days.
Week 41	Week 41	Week 41
Week 42	Week 42	Week 42
Week 44	Week Forty Four	Any period of seven consecutive days._A natural number greater than forty three and less than forty five and the quantity that it denotes.
Week 46	Week 62	Fourty-sixth week
Week 48	Week 48	Week 48
Week 49	Week 49	Week 49
Week 5	Week 5	A natural number greater than 4 and less than 6 and the quantity that it denotes: the sum of four and one.: Any period of seven consecutive days.
Week 52	Week 52	Fifty-second week
Week 53 (booster)	Week 53 (booster)	Week 53 (booster)
Week 54	Week 54	Week 54
Week 55	Week 55	Week 55
Week 55 or early termination	Week 55 or early termination	Week 55 or early termination
Week 6 of RT	Week 6 of RT	Week 6 of Radiotherapy
Week 61	Week 61	Week 61
Week 62	Week 62	Week sixty-two
Week 62	Week 62	Fourty-sixth week
Week 66	Week 66	Week 66
Week 7	Week 7	A natural number greater than 6 and less than 8 and the quantity that it denotes: the sum of six and one.: Any period of seven consecutive days.
Week 73	Week 73	Week 73
Week 78	Week 78	Week 78
Week 8	Week 8	A natural number greater than 7 and less than 9 and the quantity that it denotes: the sum of seven and one.: Any period of seven consecutive days.
Week 8 (Cycle 2)	Week 8 (Cycle 2)	Week 8 (Cycle 2)
Week 85	Week 85	Week 85
Week 9	Week 9	A natural number greater than 8 and less than 10 and the quantity that it denotes: the sum of nine and one.: Any period of seven consecutive days.
Week 90	Week 90	Week 90
Week 97	Week 97	Week 97
Weeks 1-4	Weeks 1-4	Weeks 1-4
Weeks 5-8	Weeks 5-8	Weeks 5-8
Weeks 9-12	Weeks 9-12	Weeks 9-12
Within 2 weeks prior to randomization	Within 2 weeks prior to randomization	Within 2 weeks prior to randomization
Within 3 days of starting agent	Within Three Day Begin Agent	On the inside; contained in._A natural number greater than 2 and less than 4 and the quantity that it denotes: the sum of two and one._The time for Earth to make a complete rotation on its axis; ordinarily divided into twenty-four hours, equal to 86 400 seconds. This also refers to a specific day._Have a beginning, in a temporal, spatial, or evaluative sense; the point in space or time where something begins._An active power or cause (as principle, substance, physical or biological factor, etc.) that produces a specific effect.
Within 5 days prior to Visit 1 Baseline	Within 5 days prior to Visit 1 Baseline	Within 5 days prior to Visit 1 Baseline
Within 5 days prior to Visit 2	Within 5 days prior to Visit 2	Within 5 days prior to Visit 2
Within 5 days prior to Visit 3	Within 5 days prior to Visit 3	Within 5 days prior to Visit 3
Within 5 days prior to Visit 4	Within 5 days prior to Visit 4	Within 5 days prior to Visit 4
Within 5 days prior to Visit 5	Within 5 days prior to Visit 5	Within 5 days prior to Visit 5
Within 5 days prior to Visit 6	Within 5 days prior to Visit 6	Within 5 days prior to Visit 6
Within 72-hours post-LITT	Within 72-hours post-LITT	Within 72-hours post Laser Interstitial Thermal Therapy
Wk1	Week 1	Any period of seven consecutive days._The smallest natural number and quantity it denotes: a single entity, unit, or object.
Wk2	Week 2	A natural number greater than 1 and less than 3 and the quantity that it denotes: the sum of one and one.: Any period of seven consecutive days.
Wk3	Week 3	Any period of seven consecutive days._A natural number greater than 2 and less than 4 and the quantity that it denotes: the sum of two and one.
Year 1	Year 1	Year 1
Year 1-Month 12	Year 1-Month 12	Year 1-Month 12
Year 1-Month 6	Year 1-Month 6	Year 1 - Month 6
Year 10-Year 19	Year 10-Year 19	Year 10-Year 19
Year 2	Year 2	Year 2
Year 2-Month 12	Year 2-Month 12	Year 2-Month 12
Year 2-Month 6	Year 2-Month 6	Year 2-Month 6
Year 3	Year 3	Year 3
Year 3-Month 12	Year 3-Month 12	Year 3-Month 12
Year 3-Month 6	Year 3-Month 6	Year 3-Month 6
Year 4	Year 4	Year 4
Year 4-Month 12	Year 4-Month 12	Year 4-Month 12
Year 4-Month 6	Year 4-Month 6	Year 4-Month 6
Year 5	Year 5	Year 5
Year 5-Year 9	Year 5-Year 9	Year 5-Year 9
Year 6	Year 6	Year 6
Yr 1	1 year	The smallest natural number and quantity it denotes: a single entity, unit, or object.: A period of time that it takes for Earth to make a complete revolution around the sun, approximately 365 days; a specific one year period.
Yr 10	10 YEARS	10 YEARS
Yr 15	15 Years Post Registration	180 Months (15 Years) Post Registration
Yr 4	4 YEARS	4 YEARS
Yr 7	7 YEARS	7 YEARS
baseline	Baseline	A starting point to which things may be compared.
week 16 (arm A), week 15 (arm B)	WEEK 16 (ARM A), WEEK 15 (ARM B)	WEEK 16 (ARM A), WEEK 15 (ARM B)
week 6	Week 6	A natural number greater than 5 and less than 7 and the quantity that it denotes: the sum of five and one.: Any period of seven consecutive days.
